Protein accession	Protein name	Length	Score	Normalized abundance F1	Normalized abundance F2	Normalized abundance F3	Normalized abundance F4	Normalized abundance F5	Normalized abundance F6	Normalized abundance F7	Normalized abundance F8	Normalized abundance F9	Normalized abundance F10
A0A075B6I0	Immunoglobulin lambda variable 8-61 OS=Homo sapiens OX=9606 GN=IGLV8-61 PE=3 SV=7	122	6.04	2116707.231		1031131.312	4612071.554	8637338.12	3786333.529	2156162.843	2048971.789		1069780.858
A0A075B6K0	Immunoglobulin lambda variable 3-16 OS=Homo sapiens OX=9606 GN=IGLV3-16 PE=3 SV=2	115	23.31	2710524.691	1115055.125	1780407.954	25063489.49	7639415.848	11313351.63	2490715.359	17363651.61	2075696.056	1199384.147
A0A075B6K4	Immunoglobulin lambda variable 3-10 OS=Homo sapiens OX=9606 GN=IGLV3-10 PE=3 SV=2	115	8.79	6533238.377		4954127.327	23914484.3	16356931.97	23064165.47	9228273.215	13707555.12	8025631.834	
A0A087WW87	Immunoglobulin kappa variable 2-40 OS=Homo sapiens OX=9606 GN=IGKV2-40 PE=3 SV=2	121	50.85	6419658.594	1943681.375	723634.6634	18691300.49	14866784.04	30872403.83	6654486.629	5910744.322	6142276.52	1712756.5
A0A0C4DH25	Immunoglobulin kappa variable 3D-20 OS=Homo sapiens OX=9606 GN=IGKV3D-20 PE=3 SV=1	116	56.15		2113684.25		10791512.58	2946589.544	2770684.72	1709142.935	3369774.633		
A0A0C4DH90	Immunoglobulin kappa variable 3/OR2-268 (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=IGKV3OR2-268 PE=4 SV=5	116	28.52	21508920.1	11041994.66	4481183.952	49243089.12	19157555.96	37331528.58	14352112.88	39012837.93	12396954.55	5661492.098
A0A0G2JKD1	Mucin-21 OS=Homo sapiens OX=9606 GN=MUC21 PE=4 SV=1	596	74.38	6357351.263	6609221.625	31844145.57	2025025.867	2946110.811	20336192.29	6868283.819	13646033.32	43931927.15	9790663.555
A0A140T8X8	Mucin-21 OS=Homo sapiens OX=9606 GN=MUC21 PE=4 SV=1	626	74.38	6357351.263	6609221.625	31844145.57	2025025.867	2946110.811	20336192.29	6868283.819	13646033.32	43931927.15	9790663.555
A1A5D9	BICD family-like cargo adapter 2 OS=Homo sapiens OX=9606 GN=BICDL2 PE=1 SV=2	508	73.27	343716635.5	267287409.4	164596609.1	767394.1091	544944187.5	1088370313	183355780.6	16526828.09	415317108.3	138303546.8
A5YM69	Rho guanine nucleotide exchange factor 35 OS=Homo sapiens OX=9606 GN=ARHGEF35 PE=1 SV=1	484	2.1			705609.0764							2492735.536
A6NNZ2	Tubulin beta 8B OS=Homo sapiens OX=9606 GN=TUBB8B PE=1 SV=1	444	192.26	140638984.1	135067263.8	259084754.5	107424325.7	69644011.55	134149333.4	251461644.2	223440150.5	302829935.7	400666374
O00161	Synaptosomal-associated protein 23 OS=Homo sapiens OX=9606 GN=SNAP23 PE=1 SV=1	211	8.16	6414024.755	3410721.688		755903.2385	167796.5511	513542.0919	2078547.013	1267855.527	385143.9398	1758811.339
O00264	Membrane-associated progesterone receptor component 1 OS=Homo sapiens OX=9606 GN=PGRMC1 PE=1 SV=3	195	22.76	9446110.421	1607170.125		4011564.275	1792982.672		7813216.108	15792045.42	3228276.162	6847661.971
O00410	Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4	1097	5.65	397121.7776	959359.6094	3650179.409	3235336.666	3658333.907	4052653.987	13475907.44	7727472.316	3891642.371	7989744.354
O00505	Importin subunit alpha-4 OS=Homo sapiens OX=9606 GN=KPNA3 PE=1 SV=2	521	9.91	2485699.308	1900996.344	6819205.811	715651.6864	774610.2731	13651899.91	3114553.638	5421163.603	4064513.277	9480768.069
O00629	Importin subunit alpha-3 OS=Homo sapiens OX=9606 GN=KPNA4 PE=1 SV=1	521	27.76	1457746.656	477736.0313	6667965.74	1124806.414	509967.1982		3393940.23	6113240.36	4773985.499	4812343.08
O14787	Transportin-2 OS=Homo sapiens OX=9606 GN=TNPO2 PE=1 SV=3	897	7.97	1796422.164	3114607.906	3660339.341	1075184.183	442628.4912	924935.7085	4401049.034	4839517.431	718437.6442	4056428.967
O14950	Myosin regulatory light chain 12B OS=Homo sapiens OX=9606 GN=MYL12B PE=1 SV=2	172	168.22	42383367.95	26484778.41	48158876.56	77696636.25	27560756.2	26473648.32	332266532.9	92182648.55	72144363.07	92803217.71
O15162	Phospholipid scramblase 1 OS=Homo sapiens OX=9606 GN=PLSCR1 PE=1 SV=1	318	37.79	19229936.21	12582290.18	4247371.126	11633086.58	4251210.974	10376919.49	51430560.41	37264025.27	5552670.472	17364236.66
